,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
22,,2015.0,7.0,3.0,1.0,7.0,1.0,,,CHINA:  S. XINJIANG:  HOTAN,37.6,78.2,10.0,6.4,,3.0,1.0,,,263.0,3.0,,3.0,3000.0,4.0,,,3.0,1.0,,,263.0,3.0,,3.0,3000.0,4.0,,,CHINA,Asia
23,,2015.0,7.0,3.0,6.0,43.0,54.0,,,PHILIPPINES:  MINDANAO,10.169,125.891,32.0,6.1,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,PHILIPPINES,Asia
24,,2015.0,7.0,10.0,4.0,12.0,54.0,5589.0,,SOLOMON ISLANDS,-9.307,158.403,12.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,SOLOMON ISLANDS,Oceania
25,,2015.0,7.0,18.0,2.0,28.0,22.0,5588.0,,SOLOMON ISLANDS,-10.401,165.141,11.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,SOLOMON ISLANDS,Oceania
26,,2015.0,7.0,24.0,20.0,59.0,12.0,,,PAKISTAN:  ABBOTTABAD,33.856,73.193,17.0,5.1,5.0,3.0,1.0,,,1.0,1.0,,1.0,3.0,1.0,,,3.0,1.0,,,1.0,1.0,,1.0,3.0,1.0,,,PAKISTAN,Asia
27,,2015.0,7.0,27.0,4.0,49.0,0.0,5591.0,,ALASKA,52.214,-169.399,23.0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,ALASKA,North America
28,,2015.0,7.0,27.0,21.0,42.0,11.0,,,INDONESIA:  PAPUA,-2.629,138.528,48.0,7.0,5.0,1.0,1.0,,,,,,1.0,1.0,1.0,6.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,6.0,1.0,INDONESIA,Asia
29,,2015.0,7.0,29.0,0.0,11.0,6.0,,,COLOMBIA-PANAMA:  COLOMBIA:  UNGUIA,8.231,-77.315,12.0,5.9,3.0,,,,,6.0,1.0,,1.0,,,45.0,1.0,,,,,6.0,1.0,,1.0,,,45.0,1.0,COLOMBIA-PANAMA,Not found
30,,2015.0,8.0,7.0,1.0,25.0,54.0,,,RWANDA:  BUKAVU,-2.141,28.897,11.0,5.8,4.0,3.0,1.0,,,30.0,1.0,,,,,,,3.0,1.0,,,30.0,1.0,,,,,,,RWANDA,Africa
31,,2015.0,8.0,9.0,7.0,5.0,38.0,,,EL SALVADOR:  ALEGRIA,13.668,-88.478,10.0,4.5,4.0,,,,,4.0,1.0,,2.0,,,92.0,2.0,,,,,4.0,1.0,,2.0,,,92.0,2.0,EL SALVADOR,North America
32,,2015.0,9.0,16.0,22.0,55.0,26.0,5590.0,,CHILE:  CENTRAL,-31.573,-71.674,22.0,8.3,9.0,7.0,1.0,1.0,1.0,14.0,1.0,600.0,4.0,2305.0,4.0,10044.0,4.0,15.0,1.0,1.0,1.0,14.0,1.0,600.0,4.0,2305.0,4.0,10044.0,4.0,CHILE,South America
33,,2015.0,9.0,24.0,15.0,53.0,0.0,,,INDONESIA:  SORONG,-0.59,131.27,10.0,6.6,5.0,,,,,62.0,2.0,,2.0,,,260.0,3.0,,,,,62.0,2.0,,2.0,,,260.0,3.0,INDONESIA,Asia
34,,2015.0,10.0,17.0,11.0,33.0,0.0,,,ARGENTINA:  GALPON,-25.442,-64.632,33.0,5.8,7.0,2.0,1.0,,,30.0,1.0,,1.0,15.0,1.0,,,2.0,1.0,,,30.0,1.0,,1.0,15.0,1.0,,,ARGENTINA,South America
