,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
90,,2016.0,11.0,25.0,14.0,25.0,11.0,,,CHINA:  XINJIANG PROVINCE:  KASHGAR,39.273,73.978,17.0,6.6,7.0,1.0,1.0,,,,,5.5,3.0,,2.0,,,1.0,1.0,,,,,5.5,3.0,,2.0,,,CHINA,Asia
91,,2016.0,11.0,27.0,23.0,35.0,2.0,,,"NEPAL:   MOUNT AMA DABLAM, CHARIKHARKA",27.802,86.532,10.0,5.4,4.0,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,,,NEPAL,Asia
92,,2016.0,11.0,29.0,20.0,9.0,35.0,,,POLAND:  RUDNA,51.613,16.157,5.0,4.2,,8.0,1.0,,,9.0,1.0,,1.0,,,,,8.0,1.0,,,9.0,1.0,,1.0,,,,,POLAND,Europe
93,,2016.0,12.0,1.0,0.0,25.0,38.0,,,"COSTA RICA:  PARAISO, TURRIALBA",9.949,-83.807,1.0,5.3,6.0,,,,,,,,2.0,,,60.0,2.0,,,,,,,,2.0,,,60.0,2.0,COSTA RICA,North America
94,,2016.0,12.0,1.0,22.0,40.0,0.0,,,"PERU:  PUNO, LAMPA",-15.44,-70.93,10.0,6.2,6.0,1.0,1.0,,,17.0,1.0,,1.0,8.0,1.0,40.0,1.0,1.0,1.0,,,17.0,1.0,,1.0,8.0,1.0,40.0,1.0,PERU,South America
95,,2016.0,12.0,6.0,22.0,3.0,39.0,,,INDONESIA:  SUMATRA:  ACEH:  PIDIE JAYA,5.283,96.168,13.0,6.5,8.0,104.0,3.0,,,857.0,3.0,100.0,4.0,245.0,3.0,18752.0,4.0,104.0,3.0,,,857.0,3.0,100.0,4.0,245.0,3.0,18752.0,4.0,INDONESIA,Asia
96,,2016.0,12.0,8.0,5.0,15.0,6.0,,,CHINA:  N. XINJIANG:  URUMQI,43.823,86.345,18.0,6.0,3.0,1.0,1.0,,,,,135.0,4.0,,,,,1.0,1.0,,,,,135.0,4.0,,,,,CHINA,Asia
97,,2016.0,12.0,8.0,17.0,38.0,28.0,5630.0,,SOLOMON ISLANDS,-10.681,161.327,40.0,7.8,8.0,1.0,1.0,,,,,,1.0,191.0,3.0,126.0,3.0,1.0,1.0,,,,,,1.0,191.0,3.0,126.0,3.0,SOLOMON ISLANDS,Oceania
98,,2016.0,12.0,9.0,19.0,11.0,24.0,5632.0,,SOLOMON ISLANDS,-10.749,161.132,20.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,SOLOMON ISLANDS,Oceania
99,,2016.0,12.0,17.0,10.0,51.0,5.0,5636.0,,PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND,-4.505,153.522,95.0,7.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,PAPUA NEW GUINEA,Oceania
100,,2016.0,12.0,19.0,7.0,11.0,0.0,,,ECUADOR:  ESMERALDAS,0.93,-79.84,6.0,5.4,6.0,3.0,1.0,,,47.0,1.0,,2.0,10.0,1.0,70.0,2.0,3.0,1.0,,,47.0,1.0,,2.0,10.0,1.0,70.0,2.0,ECUADOR,South America
101,,2016.0,12.0,25.0,14.0,22.0,0.0,5637.0,,CHILE,-43.517,-74.391,30.0,7.6,7.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,CHILE,South America
102,,2017.0,1.0,3.0,9.0,9.0,8.0,,,INDIA:  AMBASA;  BANGLADESH,24.015,92.018,32.0,5.7,,3.0,1.0,,,,3.0,,3.0,1492.0,4.0,5200.0,4.0,3.0,1.0,,,,3.0,,3.0,1492.0,4.0,5200.0,4.0,INDIA,Asia
103,,2017.0,1.0,3.0,21.0,53.0,7.0,5639.0,,FIJI ISLANDS,-19.373,176.052,12.0,6.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,FIJI ISLANDS,Not found
104,,2017.0,1.0,6.0,2.0,33.0,21.0,,,IRAN:  KHONJ,28.2,53.107,10.0,5.0,,4.0,1.0,,,4.0,1.0,,1.0,,,,,4.0,1.0,,,4.0,1.0,,1.0,,,,,IRAN,Asia
105,,2017.0,1.0,11.0,22.0,7.0,7.0,,,MADAGASCAR: ANTSIRABE,-20.16,46.647,7.0,5.5,,2.0,1.0,,,,1.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,MADAGASCAR,Africa
106,,2017.0,1.0,18.0,10.0,14.0,9.0,,,ITALY:  FARINDOLA,42.529,13.282,9.0,5.7,,34.0,1.0,,,11.0,1.0,18.0,3.0,,1.0,,,34.0,1.0,,,11.0,1.0,18.0,3.0,,1.0,,,ITALY,Europe
107,,2017.0,1.0,22.0,4.0,31.0,36.0,5642.0,,PAPUA NEW GUINEA:  BOUGAINVILLE ISLAND,-6.246,155.172,135.0,7.9,9.0,3.0,1.0,,,,,,1.0,,3.0,,,3.0,1.0,,,,,,1.0,,3.0,,,PAPUA NEW GUINEA,Oceania
108,,2017.0,2.0,6.0,3.0,52.0,4.0,,,TURKEY:  CANAKKALE,39.599,26.065,10.0,5.3,,,,,,5.0,1.0,,2.0,,,90.0,2.0,,,,,5.0,1.0,,2.0,,,90.0,2.0,TURKEY,Asia
109,,2017.0,2.0,6.0,13.0,2.0,14.0,,,COLOMBIA:  HUILA,3.449,-74.672,38.0,5.5,,,,,,,,,2.0,,,378.0,3.0,,,,,,,,2.0,,,378.0,3.0,COLOMBIA,South America
110,,2017.0,2.0,7.0,22.0,3.0,39.0,,,PAKISTAN:  PASNI,25.191,63.264,29.0,6.3,,,,,,,,,1.0,20.0,1.0,,1.0,,,,,,,,1.0,20.0,1.0,,1.0,PAKISTAN,Asia
111,,2017.0,2.0,10.0,14.0,4.0,32.0,,,PHILIPPINES: SURIGAO DEL NORTE,9.907,125.452,15.0,6.5,8.0,8.0,1.0,,,202.0,3.0,40.0,4.0,215.0,3.0,3042.0,4.0,8.0,1.0,,,202.0,3.0,40.0,4.0,215.0,3.0,3042.0,4.0,PHILIPPINES,Asia
112,,2017.0,2.0,24.0,0.0,32.0,8.0,,,ZAMBIA:  KAPUTA,-8.44,30.031,30.0,5.9,,,,,,5.0,1.0,,1.0,,1.0,,,,,,,5.0,1.0,,1.0,,1.0,,,ZAMBIA,Africa
113,,2017.0,3.0,5.0,0.0,8.0,1.0,,,PHILIPPINES: SURIGAO DEL NORTE,9.831,125.496,11.0,5.7,,1.0,1.0,,,45.0,1.0,,1.0,13.0,1.0,,,1.0,1.0,,,45.0,1.0,,1.0,13.0,1.0,,,PHILIPPINES,Asia
114,,2017.0,3.0,13.0,14.0,20.0,7.0,,,MYANMAR (BURMA):  THARRAWADDY,17.399,96.0,10.0,5.1,,2.0,1.0,,,36.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,,,36.0,1.0,,1.0,,1.0,,1.0,MYANMAR (BURMA),Not found
115,,2017.0,3.0,21.0,23.0,10.0,15.0,,,INDONESIA:  BALI,-8.492,115.323,112.0,5.6,,,,,,4.0,1.0,,2.0,,1.0,,,,,,,4.0,1.0,,2.0,,1.0,,,INDONESIA,Asia
116,,2017.0,3.0,26.0,23.0,55.0,6.0,,,CHINA:   YUNNAN PROVINCE,25.938,99.841,28.0,5.0,2.0,,,,,1.0,1.0,31.0,4.0,,,,,,,,,1.0,1.0,31.0,4.0,,,,,CHINA,Asia
117,,2017.0,4.0,5.0,6.0,9.0,2.0,,,IRAN:  SEFID SANG,35.776,60.436,13.0,6.1,,2.0,1.0,,,11.0,1.0,,1.0,,,,1.0,2.0,1.0,,,11.0,1.0,,1.0,,,,1.0,IRAN,Asia
118,,2017.0,4.0,8.0,7.0,9.0,18.0,,,"PHILIPPINES: BATANGAS, CALABARZON",13.77,120.935,14.0,5.9,,,,,,6.0,1.0,2.0,2.0,506.0,3.0,2108.0,4.0,,,,,6.0,1.0,2.0,2.0,506.0,3.0,2108.0,4.0,PHILIPPINES,Asia
119,,2017.0,4.0,10.0,23.0,54.0,3.0,,,"EL SALVADOR: SAN SALVADOR,SOYAPANGO",13.766,-89.155,10.0,4.8,,1.0,1.0,,,3.0,1.0,,1.0,,,,2.0,1.0,1.0,,,3.0,1.0,,1.0,,,,2.0,EL SALVADOR,North America
120,,2017.0,4.0,24.0,21.0,39.0,22.0,5647.0,,CHILE:  VALPARAISO,-33.038,-72.062,28.0,6.9,9.0,,,,,,,,,,,,,,,,,,,,,,,,,CHILE,South America
121,,2017.0,4.0,28.0,20.0,23.0,26.0,5648.0,,PHILIPPINES: SARANGANI,5.504,125.066,26.0,6.9,9.0,,,,,5.0,1.0,,1.0,1.0,1.0,,1.0,,,,,7.0,1.0,,1.0,1.0,1.0,,1.0,PHILIPPINES,Asia
122,,2017.0,5.0,1.0,12.0,31.0,3.0,5649.0,,ALASKA:  SKAGWAY; CANADA:  BRITISH COLUMBIA,59.852,-136.677,1.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,ALASKA,North America
123,,2017.0,5.0,3.0,4.0,47.0,38.0,,,"KYRGYZSTAN:  OSH, BATKEN",39.494,71.444,11.0,6.0,,,,,,,,,3.0,537.0,3.0,,,,,,,,,,3.0,537.0,3.0,,,KYRGYZSTAN,Asia
124,,2017.0,5.0,10.0,21.0,58.0,7.0,,,"CHINA: XINJIANG: QUZGUN, TAXKORGAN TAJIK",37.643,75.31,8.0,5.4,,8.0,1.0,,,23.0,1.0,123.0,4.0,3015.0,4.0,,,8.0,1.0,,,23.0,1.0,123.0,4.0,3015.0,4.0,,,CHINA,Asia
125,,2017.0,5.0,11.0,3.0,24.0,37.0,,,IRAN:  ARDABIL,39.816,48.57,63.0,5.1,,,,,,20.0,1.0,,2.0,,,85.0,2.0,,,,,20.0,1.0,,2.0,,,85.0,2.0,IRAN,Asia
126,,2017.0,5.0,13.0,18.0,0.0,52.0,,,IRAN: KHORASAN,37.769,57.206,8.0,5.6,,3.0,1.0,,,417.0,3.0,2.0,2.0,,1.0,,4.0,3.0,1.0,,,417.0,3.0,2.0,2.0,,1.0,,4.0,IRAN,Asia
127,,2017.0,5.0,25.0,9.0,55.0,51.0,,,TANZANIA: MWANZA,-3.043,32.888,10.0,4.4,,1.0,1.0,,,18.0,1.0,,,,,,,1.0,1.0,,,18.0,1.0,,,,,,,TANZANIA,Africa
128,,2017.0,5.0,28.0,11.0,4.0,37.0,,,"TURKEY: MANISA: SARUHANLI, GOLMARMARA",38.764,27.778,3.0,4.9,,,,,,,,,2.0,,,35.0,1.0,,,,,,,,2.0,,,35.0,1.0,TURKEY,Asia
129,,2017.0,5.0,29.0,14.0,35.0,51.0,,,INDONESIA:  SULAWESI:  POSO,-1.292,120.431,12.0,6.6,7.0,,,,,25.0,1.0,,2.0,5.0,1.0,348.0,3.0,,,,,25.0,1.0,,2.0,5.0,1.0,348.0,3.0,INDONESIA,Asia
130,,2017.0,6.0,12.0,12.0,28.0,15.0,5652.0,,GREECE: LESBOS,38.93,26.365,12.0,6.3,,1.0,1.0,,,15.0,1.0,,2.0,10.0,1.0,250.0,3.0,1.0,1.0,,,15.0,1.0,,2.0,10.0,1.0,250.0,3.0,GREECE,Europe
131,,2017.0,6.0,14.0,7.0,29.0,39.0,,,"GUATEMALA: QUETZALTENANGO, SUCHITEPEQUEZ; MEXICO",14.909,-92.009,93.0,6.9,8.0,5.0,1.0,,,30.0,1.0,,3.0,,1.0,,3.0,5.0,1.0,,,30.0,1.0,,3.0,,1.0,,3.0,GUATEMALA,North America
132,,2017.0,6.0,21.0,4.0,40.0,,,,NEPAL:  DHADING,27.64,85.17,,3.2,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,NEPAL,Asia
133,,2017.0,6.0,22.0,12.0,31.0,49.0,,,"GUATEMALA: ESCUINTLA, SUCHITEPEQUEZ, GUATEMALA",13.717,-90.972,38.0,6.8,6.0,,,,,4.0,1.0,,2.0,,,53.0,2.0,,,,,4.0,1.0,,2.0,,,53.0,2.0,GUATEMALA,North America
134,,2017.0,6.0,24.0,2.0,37.0,48.0,,,MOZAMBIQUE,-19.45,34.488,27.0,5.6,,,,,,4.0,1.0,,1.0,2.0,1.0,2.0,1.0,,,,,4.0,1.0,,1.0,2.0,1.0,2.0,1.0,MOZAMBIQUE,Africa
135,,2017.0,7.0,6.0,8.0,3.0,55.0,,,PHILIPPINES: LEYTE,11.127,124.629,11.0,6.5,9.0,4.0,1.0,,,448.0,3.0,5.0,3.0,735.0,3.0,1029.0,4.0,4.0,1.0,,,448.0,3.0,5.0,3.0,735.0,3.0,1029.0,4.0,PHILIPPINES,Asia
136,,2017.0,7.0,17.0,23.0,35.0,14.0,5654.0,,RUSSIA: BERING ISLAND,54.443,168.857,10.0,7.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RUSSIA,Europe
137,,2017.0,7.0,18.0,2.0,6.0,15.0,,,PERU:  AREQUIPA,-16.416,-73.636,44.0,6.4,,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,PERU,South America
138,,2017.0,7.0,20.0,22.0,31.0,26.0,5655.0,,"TURKEY: BODRUM, DATCA; GREECE: KOS",36.929,27.414,7.0,6.6,7.0,2.0,1.0,,,500.0,3.0,,2.0,,1.0,,1.0,2.0,1.0,,,500.0,3.0,,2.0,,1.0,,1.0,TURKEY,Asia
139,,2017.0,8.0,2.0,7.0,15.0,0.0,,,CHILE:  SANTIAGO,-33.201,-70.614,99.0,5.4,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,CHILE,South America
140,,2017.0,8.0,8.0,13.0,19.0,54.0,,,CHINA:  SICHUAN PROVINCE:  ABA,33.193,103.855,9.0,6.5,5.0,29.0,1.0,,,525.0,3.0,500.0,4.0,100.0,2.0,72500.0,4.0,29.0,1.0,,,525.0,3.0,500.0,4.0,100.0,2.0,72500.0,4.0,CHINA,Asia
141,,2017.0,8.0,8.0,23.0,27.0,8.0,,,CHINA:  XINGJIANG: BORTALA,44.302,82.832,20.0,6.3,,,,,,32.0,1.0,,2.0,142.0,3.0,1060.0,4.0,,,,,32.0,1.0,,2.0,142.0,3.0,1060.0,4.0,CHINA,Asia
142,,2017.0,8.0,11.0,21.0,45.0,4.0,,,PERU: AREQUIPA,-16.299,-73.474,41.0,5.6,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,PERU,South America
143,,2017.0,8.0,13.0,16.0,51.0,5.0,,,PERU:  JUNIN,-10.721,-74.566,32.0,5.8,,1.0,1.0,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,2.0,1.0,,1.0,,,,,PERU,South America
144,,2017.0,8.0,21.0,18.0,57.0,11.0,,,ITALY:  ISCHIA ISLAND,40.783,13.939,3.0,4.2,,2.0,1.0,,,42.0,1.0,,2.0,,2.0,,2.0,2.0,1.0,,,42.0,1.0,,2.0,,2.0,,2.0,ITALY,Europe
145,,2017.0,8.0,22.0,22.0,27.0,3.0,,,PHILIPPINES: LEYTE: ORMOC,10.954,124.707,17.0,5.0,,2.0,1.0,,,,1.0,,2.0,,,56.0,2.0,2.0,1.0,,,,1.0,,2.0,,,56.0,2.0,PHILIPPINES,Asia
146,,2017.0,9.0,8.0,4.0,49.0,2.0,5658.0,,"MEXICO: OAXACA, CHIAPAS, TABASCO; GUATEMALA",14.761,-94.103,46.0,8.2,9.0,98.0,2.0,,,251.0,3.0,4000.0,4.0,47468.0,4.0,94027.0,4.0,98.0,2.0,,,251.0,3.0,4000.0,4.0,47468.0,4.0,94027.0,4.0,MEXICO,North America
147,,2017.0,9.0,19.0,18.0,14.0,7.0,,,"MEXICO: MEXICO CITY, MORELOS, PUEBLA",18.339,-98.68,39.0,7.1,9.0,369.0,3.0,,,6000.0,4.0,8000.0,4.0,226.0,3.0,184000.0,4.0,369.0,3.0,,,6000.0,4.0,8000.0,4.0,226.0,3.0,184000.0,4.0,MEXICO,North America
148,,2017.0,9.0,23.0,12.0,53.0,48.0,,,MEXICO:  OAXACA,16.626,-95.078,10.0,6.1,,5.0,1.0,,,7.0,1.0,,1.0,11.0,1.0,,,5.0,1.0,,,7.0,1.0,,1.0,11.0,1.0,,,MEXICO,North America
149,,2017.0,9.0,23.0,20.0,48.0,16.0,,,PHILIPPINES: MINDANAO: LANAO DEL SUR PROVINCE,7.562,124.743,8.0,5.7,,,,,,11.0,1.0,,2.0,55.0,2.0,1659.0,4.0,,,,,11.0,1.0,,2.0,55.0,2.0,1659.0,4.0,PHILIPPINES,Asia
150,,2017.0,10.0,31.0,0.0,43.0,12.0,5663.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.697,169.149,24.0,6.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,NEW CALEDONIA,Oceania
151,,2017.0,10.0,31.0,11.0,50.0,37.0,,,INDONESIA:  MALUKU:  AMBON,-3.745,127.752,6.0,6.1,5.0,1.0,1.0,,,,,,1.0,,,14.0,1.0,1.0,1.0,,,,,,1.0,,,14.0,1.0,INDONESIA,Asia
152,,2017.0,11.0,1.0,2.0,24.0,7.0,5664.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.648,168.859,22.0,6.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,NEW CALEDONIA,Oceania
153,,2017.0,11.0,12.0,18.0,18.0,18.0,,,IRAN: KERMANSHAH; IRAQ: KURDISTAN,34.911,45.959,19.0,7.3,8.0,630.0,3.0,,,12900.0,4.0,750.0,4.0,15500.0,4.0,14500.0,4.0,630.0,3.0,,,12900.0,4.0,750.0,4.0,15500.0,4.0,14500.0,4.0,IRAN,Asia
154,,2017.0,11.0,13.0,2.0,29.0,8.0,,,COSTA RICA: JACO,9.515,-84.487,19.0,6.5,8.0,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,COSTA RICA,North America
155,,2017.0,11.0,15.0,5.0,30.0,22.0,,,SOUTH KOREA: POHANG,36.074,129.27,10.0,5.5,8.0,,,,,90.0,2.0,75.8,4.0,,1.0,2165.0,4.0,,,,,90.0,2.0,75.8,4.0,,1.0,2165.0,4.0,SOUTH KOREA,Asia
156,,2017.0,11.0,17.0,22.0,34.0,45.0,,,CHINA:  TIBET (XIZANG PROVINCE): NYINGCHI,29.833,94.984,8.0,6.4,9.0,,,,,3.0,1.0,,3.0,,,3000.0,4.0,,,,,3.0,1.0,,3.0,,,3000.0,4.0,CHINA,Asia
157,,2017.0,11.0,18.0,16.0,7.0,3.0,,,INDONESIA: NORTH MALUKU: MOROTAI,2.465,128.148,8.0,5.8,,1.0,1.0,,,,,,2.0,,,294.0,3.0,1.0,1.0,,,,,,2.0,,,294.0,3.0,INDONESIA,Asia
158,,2017.0,11.0,19.0,9.0,26.0,13.0,5723.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.638,168.673,14.0,6.3,5.0,,,,,,,,,,,,,,,,,,,,,,,,,NEW CALEDONIA,Oceania
159,,2017.0,11.0,19.0,15.0,10.0,28.0,5724.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.503,168.598,13.0,6.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,NEW CALEDONIA,Oceania
160,,2017.0,11.0,19.0,22.0,43.0,25.0,5670.0,,NEW CALEDONIA:  LOYALTY ISLANDS,-21.325,168.672,10.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,NEW CALEDONIA,Oceania
161,,2017.0,11.0,23.0,9.0,43.0,7.0,,,CHINA: CHONGQING: WULONG,29.349,108.058,10.0,5.1,4.0,,,,,8.0,1.0,1.5,2.0,1.0,1.0,30.0,1.0,,,,,8.0,1.0,1.5,2.0,1.0,1.0,30.0,1.0,CHINA,Asia
162,,2017.0,12.0,1.0,2.0,32.0,4.0,,,IRAN:  KERMAN,30.746,57.307,9.0,6.1,5.0,,,,,51.0,2.0,,1.0,,2.0,,1.0,,,,,51.0,2.0,,1.0,,2.0,,1.0,IRAN,Asia
163,,2017.0,12.0,15.0,16.0,47.0,23.0,,,INDONESIA:  JAVA,-7.492,108.174,90.0,6.5,7.0,4.0,1.0,,,36.0,1.0,,2.0,,,4825.0,4.0,4.0,1.0,,,36.0,1.0,,2.0,,,4825.0,4.0,INDONESIA,Asia
164,,2017.0,12.0,20.0,19.0,57.0,7.0,,,IRAN:  ALBORZ,35.649,50.962,10.0,4.9,6.0,2.0,1.0,,,117.0,3.0,,,,,,,2.0,1.0,,,117.0,3.0,,,,,,,IRAN,Asia
165,,2017.0,12.0,26.0,21.0,24.0,59.0,,,"IRAN: ALBORZ, TEHRAN",35.716,51.256,10.0,4.0,4.0,1.0,1.0,,,57.0,2.0,,,,,,,1.0,1.0,,,57.0,2.0,,,,,,,IRAN,Asia
166,,2018.0,1.0,4.0,10.0,47.0,7.0,,,BALKANS NW:  MONTENEGRO: BERANE,42.66,19.862,10.0,5.1,4.0,,,,,,1.0,,2.0,,,,3.0,,,,,,1.0,,2.0,,,,3.0,MONTENEGRO,Europe
167,,2018.0,1.0,6.0,15.0,22.0,12.0,,,IRAN:  KERMANSHAH,34.585,45.77,10.0,5.0,7.0,,,,,51.0,2.0,,1.0,,2.0,,,,,,,51.0,2.0,,1.0,,2.0,,,IRAN,Asia
168,,2018.0,1.0,8.0,,,,,,THE NETHERLANDS: GRONINGEN,53.2,6.6,,3.4,,,,,,,,,2.0,,,,4.0,,,,,,,,2.0,,,,4.0,THE NETHERLANDS,Not found
169,,2018.0,1.0,10.0,2.0,51.0,29.0,5672.0,,HONDURAS,17.483,-83.52,19.0,7.5,8.0,,,,,,,,1.0,,,7.0,1.0,,,,,,,,1.0,,,7.0,1.0,HONDURAS,North America
170,,2018.0,1.0,11.0,6.0,59.0,47.0,,,IRAN: KERMANSHAH,33.713,45.724,10.0,5.5,5.0,,,,,13.0,1.0,,1.0,,,,2.0,,,,,13.0,1.0,,1.0,,,,2.0,IRAN,Asia
171,,2018.0,1.0,14.0,9.0,18.0,0.0,5675.0,,PERU: YAUCA,-15.982,-74.512,38.0,7.1,9.0,2.0,1.0,,,139.0,3.0,,3.0,259.0,3.0,1577.0,4.0,2.0,1.0,,,139.0,3.0,,3.0,259.0,3.0,1577.0,4.0,PERU,South America
172,,2018.0,1.0,23.0,6.0,35.0,38.0,,,INDONESIA:  JAVA:  BANTEN,-7.092,105.963,48.0,5.9,6.0,1.0,1.0,,,11.0,1.0,,2.0,,,2760.0,4.0,1.0,1.0,,,11.0,1.0,,2.0,,,2760.0,4.0,INDONESIA,Asia
173,,2018.0,1.0,23.0,9.0,32.0,29.0,5673.0,,ALASKA:  KODIAK ISLAND,56.004,-149.166,14.0,7.9,9.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,ALASKA,North America
174,,2018.0,1.0,31.0,7.0,7.0,29.0,,,AFGHANISTAN; PAKISTAN:  BALUCHISTAN,36.526,70.851,194.0,6.2,6.0,2.0,1.0,,,15.0,1.0,,,,,,,2.0,1.0,,,15.0,1.0,,,,,,,AFGHANISTAN,Asia
175,,2018.0,1.0,31.0,23.0,13.0,4.0,,,ECUADOR:  PASTAZA,-1.744,-77.672,21.0,5.2,4.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,ECUADOR,South America
176,,2018.0,2.0,6.0,15.0,50.0,32.0,,,TAIWAN:  HUALIEN,24.134,121.659,17.0,6.4,,17.0,1.0,,,291.0,3.0,,2.0,4.0,1.0,,1.0,17.0,1.0,,,291.0,3.0,,2.0,4.0,1.0,,1.0,TAIWAN,Asia
177,,2018.0,2.0,16.0,23.0,39.0,28.0,,,MEXICO:  OAXACA,16.386,-97.979,22.0,7.2,,14.0,1.0,,,19.0,1.0,,2.0,,,1000.0,3.0,14.0,1.0,,,19.0,1.0,,2.0,,,1000.0,3.0,MEXICO,North America
178,,2018.0,2.0,25.0,17.0,44.0,14.0,,,"PAPUA NEW GUINEA: S HIGHLANDS, HELA;  INDONESIA",-6.07,142.754,25.0,7.5,8.0,145.0,3.0,,,300.0,3.0,290.0,4.0,,4.0,,4.0,145.0,3.0,,,300.0,3.0,290.0,4.0,,4.0,,4.0,PAPUA NEW GUINEA,Oceania
179,,2018.0,2.0,28.0,2.0,45.0,43.0,,,PAPUA NEW GUINEA:  S HIGHLANDS,-6.17,142.468,16.0,6.1,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,PAPUA NEW GUINEA,Oceania
180,,2018.0,3.0,4.0,19.0,57.0,29.0,,,PAPUA NEW GUINEA:  S HIGHLANDS,-6.331,142.599,10.0,6.0,,11.0,1.0,,,,,,,,,,,11.0,1.0,,,,,,,,,,,PAPUA NEW GUINEA,Oceania
181,,2018.0,3.0,4.0,23.0,18.0,21.0,,,"OKLAHOMA: BRECKENRIDGE, ENID",36.473,-97.722,5.0,4.2,,,,,,,,,2.0,,,,2.0,,,,,,,,2.0,,2.0,,,OKLAHOMA,Not found
182,,2018.0,3.0,6.0,14.0,14.0,5.0,,,"PAPUA NEW GUINEA:  S HIGHLANDS, HELA",-6.304,142.612,20.0,6.7,,25.0,1.0,,,,,,,1.0,1.0,,,25.0,1.0,,,,,,,1.0,1.0,,,PAPUA NEW GUINEA,Oceania
183,,2018.0,4.0,1.0,8.0,35.0,41.0,,,IRAN:  KERMANSHAH,34.403,45.748,10.0,5.0,,,,,,54.0,2.0,,,,,,,,,,,54.0,2.0,,,,,,,IRAN,Asia
184,,2018.0,4.0,3.0,9.0,41.0,35.0,,,VENEZUELA:  MERIDA,8.346,-71.719,10.0,4.9,,,,,,,,,2.0,,,28.0,1.0,,,,,,,,2.0,,,28.0,1.0,VENEZUELA,South America
185,,2018.0,4.0,7.0,5.0,48.0,1.0,,,PAPUA NEW GUINEA:  HELA,-5.838,142.531,18.0,6.3,,4.0,1.0,,,,,,1.0,,1.0,,1.0,4.0,1.0,,,,,,1.0,,1.0,,1.0,PAPUA NEW GUINEA,Oceania
186,,2018.0,4.0,8.0,16.0,32.0,52.0,,,JAPAN:  SHIMANE PREFECTURE,35.259,132.553,10.0,5.7,,,,,,8.0,1.0,,3.0,,,429.0,3.0,,,,,8.0,1.0,,3.0,,,429.0,3.0,JAPAN,Asia
187,,2018.0,4.0,10.0,3.0,12.0,29.0,,,ITALY:  MUCCIA,43.066,13.052,10.0,4.7,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,ITALY,Europe
188,,2018.0,4.0,18.0,6.0,29.0,24.0,,,INDONESIA:  JAVA:  BANJARNEGARA,-7.248,109.654,10.0,4.5,2.0,3.0,1.0,,,21.0,1.0,,2.0,,,316.0,3.0,3.0,1.0,,,21.0,1.0,,2.0,,,316.0,3.0,INDONESIA,Asia
189,,2018.0,4.0,24.0,0.0,34.0,18.0,,,TURKEY:  ADIYAMAN,37.596,38.514,10.0,5.2,,,,,,39.0,1.0,,1.0,,,,1.0,,,,,39.0,1.0,,1.0,,,,1.0,TURKEY,Asia
190,,2018.0,5.0,2.0,4.0,8.0,4.0,,,IRAN:  KOHGILUYEH AND BOYER-AHMAD: SISAKHT,30.705,51.49,8.0,5.3,,,,,,133.0,3.0,,2.0,,,,1.0,,,,,133.0,3.0,,2.0,,,,1.0,IRAN,Asia
